,high,val,open,low,from_date,name,industry,start_quote,info,date,to_date,country,vol,symbol,indexes
0,26.4287,25.9981,26.283,25.9981,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2013-12-30,2025-03-06,PL,543535.57423709,PKN,WIG
1,26.4287,25.9981,26.283,25.9981,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2013-12-30,2025-03-06,PL,543535.57423709,PKN,WIG20
2,27.5251,27.3614,26.4099,26.1241,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-02,2025-03-06,PL,1300206.9802621,PKN,WIG
3,27.5251,27.3614,26.4099,26.1241,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-02,2025-03-06,PL,1300206.9802621,PKN,WIG20
4,27.3802,26.961,27.2655,26.9495,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-03,2025-03-06,PL,954337.24857825,PKN,WIG
5,27.3802,26.961,27.2655,26.9495,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-03,2025-03-06,PL,954337.24857825,PKN,WIG20
6,27.0134,26.6949,26.631,26.4099,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-07,2025-03-06,PL,2215023.5174143,PKN,WIG
7,27.0134,26.6949,26.631,26.4099,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-07,2025-03-06,PL,2215023.5174143,PKN,WIG20
8,26.911,26.631,26.6949,26.5115,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-08,2025-03-06,PL,1809727.385938,PKN,WIG
9,26.911,26.631,26.6949,26.5115,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-08,2025-03-06,PL,1809727.385938,PKN,WIG20
10,26.7399,26.2511,26.346,26.2332,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-09,2025-03-06,PL,2190098.3567377,PKN,WIG
11,26.7399,26.2511,26.346,26.2332,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-09,2025-03-06,PL,2190098.3567377,PKN,WIG20
12,26.7588,26.7588,26.1241,25.7008,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-10,2025-03-06,PL,2960606.896893,PKN,WIG
13,26.7588,26.7588,26.1241,25.7008,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-10,2025-03-06,PL,2960606.896893,PKN,WIG20
14,27.3221,26.9807,26.7964,26.7964,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-13,2025-03-06,PL,907410.67824958,PKN,WIG
15,27.3221,26.9807,26.7964,26.7964,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-13,2025-03-06,PL,907410.67824958,PKN,WIG20
16,27.3041,26.803,26.9807,26.803,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-14,2025-03-06,PL,2197110.9625785,PKN,WIG
17,27.3041,26.803,26.9807,26.803,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-14,2025-03-06,PL,2197110.9625785,PKN,WIG20
18,27.2983,26.7588,27.2591,26.7588,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-15,2025-03-06,PL,1450573.7612325,PKN,WIG
19,27.2983,26.7588,27.2591,26.7588,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-15,2025-03-06,PL,1450573.7612325,PKN,WIG20
20,27.2345,26.9937,27.0134,26.6761,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-16,2025-03-06,PL,617335.25130926,PKN,WIG
21,27.2345,26.9937,27.0134,26.6761,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-16,2025-03-06,PL,617335.25130926,PKN,WIG20
22,27.0445,26.6949,26.9684,26.3904,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-17,2025-03-06,PL,1195268.2556241,PKN,WIG
23,27.0445,26.6949,26.9684,26.3904,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-17,2025-03-06,PL,1195268.2556241,PKN,WIG20
24,26.7334,25.9849,26.505,25.782,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-20,2025-03-06,PL,1764715.7870406,PKN,WIG
25,26.7334,25.9849,26.505,25.782,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-20,2025-03-06,PL,1764715.7870406,PKN,WIG20
26,26.505,25.9662,26.1184,25.9662,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-21,2025-03-06,PL,910449.22985737,PKN,WIG
27,26.505,25.9662,26.1184,25.9662,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-21,2025-03-06,PL,910449.22985737,PKN,WIG20
28,26.3084,25.6558,26.3084,25.4274,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-22,2025-03-06,PL,3379996.6318877,PKN,WIG
29,26.3084,25.6558,26.3084,25.4274,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-22,2025-03-06,PL,3379996.6318877,PKN,WIG20
30,26.1184,25.3635,25.6746,25.0089,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-23,2025-03-06,PL,1906357.7236838,PKN,WIG
31,26.1184,25.3635,25.6746,25.0089,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-23,2025-03-06,PL,1906357.7236838,PKN,WIG20
32,25.7008,24.7167,25.3963,24.7167,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-24,2025-03-06,PL,1902643.8026873,PKN,WIG
33,25.7008,24.7167,25.3963,24.7167,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-24,2025-03-06,PL,1902643.8026873,PKN,WIG20
34,25.0785,24.0829,24.4137,24.0829,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-27,2025-03-06,PL,2843311.2328789,PKN,WIG
35,25.0785,24.0829,24.4137,24.0829,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-27,2025-03-06,PL,2843311.2328789,PKN,WIG20
36,24.6601,24.4137,24.4137,24.1083,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-28,2025-03-06,PL,2092136.8207392,PKN,WIG
37,24.6601,24.4137,24.4137,24.1083,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-28,2025-03-06,PL,2092136.8207392,PKN,WIG20
38,24.7297,24.2237,24.6528,24.159,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-29,2025-03-06,PL,2382175.6091955,PKN,WIG
39,24.7297,24.2237,24.6528,24.159,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-29,2025-03-06,PL,2382175.6091955,PKN,WIG20
40,24.5201,24.4759,24.2237,23.7782,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-30,2025-03-06,PL,1659272.672606,PKN,WIG
41,24.5201,24.4759,24.2237,23.7782,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-30,2025-03-06,PL,1659272.672606,PKN,WIG20
42,24.9786,24.597,24.5406,24.0321,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-31,2025-03-06,PL,2224257.6366693,PKN,WIG
43,24.9786,24.597,24.5406,24.0321,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-01-31,2025-03-06,PL,2224257.6366693,PKN,WIG20
44,25.0154,24.6028,24.6601,24.4439,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-03,2025-03-06,PL,1421793.0107545,PKN,WIG
45,25.0154,24.6028,24.6601,24.4439,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-03,2025-03-06,PL,1421793.0107545,PKN,WIG20
46,24.8436,24.3818,24.4252,24.2474,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-04,2025-03-06,PL,1173689.409821,PKN,WIG
47,24.8436,24.3818,24.4252,24.2474,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-04,2025-03-06,PL,1173689.409821,PKN,WIG20
48,24.4137,24.0321,24.2237,24.0321,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-05,2025-03-06,PL,1848067.116896,PKN,WIG
49,24.4137,24.0321,24.2237,24.0321,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-05,2025-03-06,PL,1848067.116896,PKN,WIG20
50,25.2374,25.2299,24.0952,24.0435,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-06,2025-03-06,PL,2762393.9196451,PKN,WIG
51,25.2374,25.2299,24.0952,24.0435,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-06,2025-03-06,PL,2762393.9196451,PKN,WIG20
52,25.8761,25.8761,25.2299,24.9516,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2014-02-07,2025-03-06,PL,2286823.9545419,PKN,WIG
